Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2022,December,1 North West Metro, Whittlesea,12477,5265.312323287
2022,December,1 North West Metro, Wyndham,17648,5709.017387788
2022,December,1 North West Metro, Yarra,12835,13905.591488716
2022,December,1 North West Metro,Total,180496,8001.571091212
2022,December,2 Eastern, Alpine,459,3480.700690074
2022,December,2 Eastern, Bass Coast,2829,6768.266424231
2022,December,2 Eastern, Baw Baw,4139,6985.889819066
2022,December,2 Eastern, Benalla,1325,9165.110327177
2022,December,2 Eastern, Boroondara,7079,4176.401179941
2022,December,2 Eastern, East Gippsland,4877,9968.930133682
2022,December,2 Eastern, Greater Shepparton,8921,12943.054044251
2022,December,2 Eastern, Indigo,730,4191.066712596
2022,December,2 Eastern, Knox,9133,5727.275577713
2022,December,2 Eastern, Latrobe,11186,14402.327857032
2022,December,2 Eastern, Manningham,3811,3012.862575203
2022,December,2 Eastern, Mansfield,382,3696.178035801
2022,December,2 Eastern, Maroondah,7525,6504.507775156
2022,December,2 Eastern, Mitchell,3868,7488.287451117
2022,December,2 Eastern, Moira,2048,6699.159334009
2022,December,2 Eastern, Monash,11782,6045.864827558
2022,December,2 Eastern, Murrindindi,750,4886.630179828
2022,December,2 Eastern, South Gippsland,1942,6326.351109229
2022,December,2 Eastern, Strathbogie,611,5308.427454387
2022,December,2 Eastern, Towong,159,2566.171723693
2022,December,2 Eastern, Wangaratta,2448,8186.469584991
2022,December,2 Eastern, Wellington,4481,9784.056420446
2022,December,2 Eastern, Whitehorse,7933,4599.747196549
2022,December,2 Eastern, Wodonga,3635,8319.22003021
2022,December,2 Eastern, Yarra Ranges,6973,4430.452131039
2022,December,2 Eastern,Total,109026,6363.858170004
2022,December,3 Southern Metro, Bayside,4954,4848.449259618
2022,December,3 Southern Metro, Cardinia,6159,5003.086820899
2022,December,3 Southern Metro, Casey,20949,5529.906475447
2022,December,3 Southern Metro, Frankston,12737,9028.338933072
2022,December,3 Southern Metro, Glen Eira,6934,4571.044339262
2022,December,3 Southern Metro, Greater Dandenong,17016,10691.733008275
2022,December,3 Southern Metro, Kingston,10694,6683.541139339
2022,December,3 Southern Metro, Mornington Peninsula,9293,5477.328586669
2022,December,3 Southern Metro, Port Phillip,12598,12114.626406385
2022,December,3 Southern Metro, Stonnington,11314,10631.660057509
2022,December,3 Southern Metro,Total,112648,7057.654511497
2022,December,4 Western, Ararat,1342,11417.389824741
2022,December,4 Western, Ballarat,10953,9446.23159783
2022,December,4 Western, Buloke,289,4723.765936581
2022,December,4 Western, Campaspe,3338,8660.906567033
2022,December,4 Western, Central Goldfields,1174,8686.001775673
2022,December,4 Western, Colac-Otway,1551,6990.265008112
2022,December,4 Western, Corangamite,682,4264.365659976
2022,December,4 Western, Gannawarra,804,7634.602601842
2022,December,4 Western, Glenelg,1650,8233.122099696
2022,December,4 Western, Golden Plains,600,2370.417193426
2022,December,4 Western, Greater Bendigo,10467,8534.248697481
